"FILE_ID","FILE_NAME","BIRD_COUNT","PLUMAGE","POSITION","updated_by","updated_on","created_by","created_on"
1,CAGO_flk_AR_1574_n=469_uniform_Static_1200x800.jpg,469,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.333,nandi_xie@fws.gov,2015-05-11 08:14:13.333
2,CAGO_flk_MJP_0236_n=92_Uniform_Slide_1820x810.jpg,92,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.333,nandi_xie@fws.gov,2015-05-11 08:14:13.333
3,CAGO_flk_MJP_0236_n=92_Uniform_Static_1200x800.jpg,92,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
4,CAGO_flk_MJP_0238_n=91_Uniform_Slide_1820x810.jpg,91,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
5,CAGO_flk_MJP_6318_n=74_Uniform_Slide_1800x800.jpg,74,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
6,CAGO_flk_MJP_6318_n=74_Uniform_Static_1200x800.jpg,74,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
7,CAGO_flk_MJP_6346_n=110_Uniform_Static_1200x800.jpg,110,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
8,CAGO_flk_MJP_6346_n=128_Uniform_Slide_1820x810.jpg,128,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
9,CAGO_flk_MJP_6346_n=136_Uniform_Static_1200x800.jpg,136,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
10,COEI_flk_swim_CL_8540_n=1973_uniform_Static_1200x800.jpg,1973,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
11,SPEI_flk_TDB_1398_n=2500_Dimorphic_Static_1200x800.jpg,2500,dimorphic,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
12,CAGO_flk_MJP_0231_n=77_Uniform_Slide_1820x810.jpg,77,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
13,CAGO_flk_MJP_0235_n=410_Uniform_Static_1200x800.jpg,410,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
14,BLSC_flk_FB_1661_n=243_uniform_Static_1200x800.jpg,243,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
15,CAGO_flk_AR_1575_n=1243_uniform_Slide_1820x810.jpg,1243,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
16,CAGO_flk_fly_TDB_7648_n=42_Uniform_Slide_1820x810.jpg,42,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
17,CAGO_flk_fly_TDB_7648_n=42_Uniform_Static_1200x800.jpg,42,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
18,CAGO_flk_AR_1575_n=1308_uniform_Static_1200x800.jpg,1308,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
19,CAGO_flk_fly_TDB_7964_n=50_Uniform_Statiic_1200x800.jpg,50,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.350,nandi_xie@fws.gov,2015-05-11 08:14:13.350
20,CAGO_flk_MJP_0231_n=63_Uniform_Static_1200x800.jpg,63,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
21,CAGO_flk_MJP_0235a_n=788_Uniform_Static_1200x800.jpg,788,uniform,Static,bhuvan_adhikari@fws.gov,2022-01-19 13:20:00.000,bhuvan_adhikari@fws.gov,2022-01-19 13:20:00.000
22,CAGO_flk_MJP_0240_n=298_Uniform_Static_1200x800.jpg,298,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
23,CAGO_flk_MJP_0240a_n=326_Uniform_Static_1200x800.jpg,326,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
24,CAGO_flk_MJP_0241_n=298_Uniform_Static_1200x800.jpg,298,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
25,CAGO_flk_MJP_6316_n=72_Uniform_Static_1200x800.jpg,72,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
26,CAGO_flk_MJP_6316_n=80_Uniform_Static_1200x800.jpg,80,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
27,CAGO_flk_MJP_6324_n=75_Uniform_Static_1200x800.jpg,75,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
28,CAGO_flk_MJP_6324_n=113_Uniform_Static_1200x800.jpg,113,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
29,CAGO_flk_MJP_6324_n=114_Uniform_Static_1200x800.jpg,114,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
30,CAGO_flk_MJP_6328_n=29_Uniform_Static_1200x800.jpg,29,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
31,CAGO_flk_MJP_6328_n=62_Uniform_Slide_1820x810.jpg,62,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
32,CAGO_flk_MJP_6334_n=250_Uniform_Slide_1820x810.jpg,250,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
33,CAGO_flk_MJP_6334_n=200_Uniform_Static_1200x800.jpg,200,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
34,CAGO_flk_MJP_6339_n=344_Uniform_Slide_1820x810.jpg,344,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
35,CAGO_flk_MJP_6342_n=304_Uniform_Static_1200x800.jpg,304,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
36,CAGO_flk_MJP_6342_n=421_Uniform_Slide_1820x810.jpg,421,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
37,CAGO_flk_MJP_6342_n=510_Uniform_Slide_1820x810.jpg,510,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
38,CAGO_flk_MJP_6350_n=133_Uniform_Static_1200x800.jpg,133,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
39,CAGO_flk_MJP_6351_n=134_Uniform_Slide_1820x810.jpg,134,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.363,nandi_xie@fws.gov,2015-05-11 08:14:13.363
40,CAGO_flk_MJP_6352_n=137_Uniform_Slide_1820x810.jpg,137,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
41,CAGO_flk_MJP_6357_n=23_Uniform_Slide_1820x810.jpg,23,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
42,CAGO_flk_MJP_6365_n=50_Uniform_Static_1200x800.jpg,50,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
43,CAGO_flk_MJP_6365_n=50_Uniform_Slide_1820x810.jpg,50,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
44,CAGO_flk_MJP_6373_n=269_Uniform_Slide_1820x810.jpg,269,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
45,CAGO_flk_MJP_6376_n=287_Uniform_Static_1200x800.jpg,287,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
46,CAGO_flk_MJP_6378_n=139_Uniform_Slide_1820x810.jpg,139,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
47,CAGO_flk_MJP_6379_n=138_Uniform_Slide_1820x810.jpg,138,uniform,slide,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
48,CAGO_flk_MJP_6380_n=128_Uniform_Static_1200x800.jpg,128,uniform,static,nandi_xie@fws.gov,2015-05-11 08:14:13.380,nandi_xie@fws.gov,2015-05-11 08:14:13.380
