"GEOGRAPHIC_REGION","DESCRIPTION","updated_by","updated_on"
"1",Prairies and Parklands,aws_user,2015-04-14 14:04:19.373
"2",Boreal and Taiga,aws_user,2015-04-14 14:04:19.373
"3",NE U.S. and Eastern Canada,aws_user,2015-04-14 14:04:19.373
"4",Southeast U.S.,aws_user,2015-04-14 14:04:19.373
"5",Intermountain West,aws_user,2015-04-14 14:04:19.373
"6",Arctic Tundra,aws_user,2015-04-14 14:04:19.373
"7",Alaska,aws_user,2015-04-14 14:04:19.373
"8",Pacific Coastal,aws_user,2015-04-14 14:04:19.373
"9",Atlantic Coastal,aws_user,2015-04-14 14:04:19.373
"99",ALL Regions and Habitats,aws_user,2015-04-14 14:04:19.373
