"FILE_ID","FILE_NAME","LOCATION","ELAPSED_TIME","SPECIES","DIFFICULTY_LEVEL","updated_by","updated_on","created_by","created_on"
10,"0002",Florida,5,"202","2",aws_user,2015-05-12 15:35:17.260,aws_user,2015-05-12 15:35:17.260
11,"0015",Florida,10,"202","1",aws_user,2015-05-12 15:35:17.260,aws_user,2015-05-12 15:35:17.260
12,"0017",Florida,5,"202","2",aws_user,2015-05-12 15:35:17.273,aws_user,2015-05-12 15:35:17.273
13,"0025",Florida,10,"502","1",aws_user,2015-05-12 15:35:17.290,aws_user,2015-05-12 15:35:17.290
14,"0026",Florida,5,"502","2",aws_user,2015-05-12 15:35:17.307,aws_user,2015-05-12 15:35:17.307
15,"0028",Florida,5,"501","2",aws_user,2015-05-12 15:35:17.320,aws_user,2015-05-12 15:35:17.320
16,"0056",Florida,10,"501","1",aws_user,2015-05-12 15:35:17.320,aws_user,2015-05-12 15:35:17.320
17,"0057",Florida,10,"501","1",aws_user,2015-05-12 15:35:17.337,aws_user,2015-05-12 15:35:17.337
18,"0080",Florida,10,"202","1",aws_user,2015-05-12 15:35:17.353,aws_user,2015-05-12 15:35:17.353
19,"0127",Florida,5,"202","2",aws_user,2015-05-12 15:35:17.353,aws_user,2015-05-12 15:35:17.353
20,"0238",Florida,10,"501","1",aws_user,2015-05-12 15:35:17.370,aws_user,2015-05-12 15:35:17.370
21,"0247",Florida,5,"501","2",aws_user,2015-05-12 15:35:17.383,aws_user,2015-05-12 15:35:17.383
22,"0322",Kachemak Bay,5,"408","2",aws_user,2015-05-12 15:35:17.400,aws_user,2015-05-12 15:35:17.400
23,"0329",Kachemak Bay,10,"411","1",aws_user,2015-05-12 15:35:17.400,aws_user,2015-05-12 15:35:17.400
24,"0331",Kachemak Bay,10,"201","1",aws_user,2015-05-12 15:35:17.417,aws_user,2015-05-12 15:35:17.417
25,"0333",Kachemak Bay,5,"201","2",aws_user,2015-05-12 15:35:17.430,aws_user,2015-05-12 15:35:17.430
26,"0347",Kachemak Bay,10,"422","1",aws_user,2015-05-12 15:35:17.430,aws_user,2015-05-12 15:35:17.430
27,"0363",Kachemak Bay,5,"422","2",aws_user,2015-05-12 15:35:17.447,aws_user,2015-05-12 15:35:17.447
28,"0367",Kachemak Bay,10,"408","1",aws_user,2015-05-12 15:35:17.447,aws_user,2015-05-12 15:35:17.463
29,"0380",Kachemak Bay,5,"408","2",aws_user,2015-05-12 15:35:17.463,aws_user,2015-05-12 15:35:17.463
30,"0383",Kachemak Bay,10,"413","1",aws_user,2015-05-12 15:35:17.477,aws_user,2015-05-12 15:35:17.477
31,"0385",Kachemak Bay,5,"413","2",aws_user,2015-05-12 15:35:17.477,aws_user,2015-05-12 15:35:17.477
32,"0402",Kachemak Bay,10,"408","1",aws_user,2015-05-12 15:35:17.493,aws_user,2015-05-12 15:35:17.493
33,"0426",Kachemak Bay,5,"419","2",aws_user,2015-05-12 15:35:17.510,aws_user,2015-05-12 15:35:17.510
34,"0432",Kachemak Bay,5,"419","2",aws_user,2015-05-12 15:35:17.523,aws_user,2015-05-12 15:35:17.523
35,"0468",Kachemak Bay,10,"422","1",aws_user,2015-05-12 15:35:17.523,aws_user,2015-05-12 15:35:17.523
36,"0473",Kachemak Bay,10,"303","1",aws_user,2015-05-12 15:35:17.540,aws_user,2015-05-12 15:35:17.540
37,"0483",Kachemak Bay,5,"303","2",aws_user,2015-05-12 15:35:17.557,aws_user,2015-05-12 15:35:17.557
38,"0514",Kachemak Bay,10,"210","1",aws_user,2015-05-12 15:35:17.570,aws_user,2015-05-12 15:35:17.570
39,"0517",Kachemak Bay,10,"204","1",aws_user,2015-05-12 15:35:17.587,aws_user,2015-05-12 15:35:17.587
40,"0523",Kachemak Bay,5,"204","2",aws_user,2015-05-12 15:35:17.603,aws_user,2015-05-12 15:35:17.603
41,"0542",Kachemak Bay,5,"407","2",aws_user,2015-05-12 15:35:17.620,aws_user,2015-05-12 15:35:17.620
42,"0567",Kachemak Bay,5,"406","2",aws_user,2015-05-12 15:35:17.633,aws_user,2015-05-12 15:35:17.633
43,"0573",Kachemak Bay,10,"406","1",aws_user,2015-05-12 15:35:17.633,aws_user,2015-05-12 15:35:17.633
44,"0577",Kachemak Bay,10,"410","1",aws_user,2015-05-12 15:35:17.650,aws_user,2015-05-12 15:35:17.650
45,"0580",Kachemak Bay,5,"410","2",aws_user,2015-05-12 15:35:17.667,aws_user,2015-05-12 15:35:17.667
46,"0590",Kachemak Bay,10,"407","1",aws_user,2015-05-12 15:35:17.680,aws_user,2015-05-12 15:35:17.680
47,"0695",Kachemak Bay,5,"408","2",aws_user,2015-05-12 15:35:17.680,aws_user,2015-05-12 15:35:17.680
48,"0718",Kachemak Bay,5,"211","2",aws_user,2015-05-12 15:35:17.697,aws_user,2015-05-12 15:35:17.697
49,"0719",Kachemak Bay,10,"211","1",aws_user,2015-05-12 15:35:17.713,aws_user,2015-05-12 15:35:17.713
50,"0734",Kachemak Bay,10,"210","1",aws_user,2015-05-12 15:35:17.713,aws_user,2015-05-12 15:35:17.713
51,"0767",Kachemak Bay,10,"419","1",aws_user,2015-05-12 15:35:17.727,aws_user,2015-05-12 15:35:17.727
52,"0784",Kachemak Bay,10,"210","1",aws_user,2015-05-12 15:35:17.727,aws_user,2015-05-12 15:35:17.727
53,"0811",Kachemak Bay,10,"211","1",aws_user,2015-05-12 15:35:17.743,aws_user,2015-05-12 15:35:17.743
54,"0833",Kachemak Bay,10,"419","1",aws_user,2015-05-12 15:35:17.760,aws_user,2015-05-12 15:35:17.760
55,"0845",Kachemak Bay,5,"419","2",aws_user,2015-05-12 15:35:17.773,aws_user,2015-05-12 15:35:17.773
56,"0853",Kachemak Bay,5,"719","2",aws_user,2015-05-12 15:35:17.773,aws_user,2015-05-12 15:35:17.773
57,"0864",Kachemak Bay,10,"719","1",aws_user,2015-05-12 15:35:17.790,aws_user,2015-05-12 15:35:17.790
58,"0867",Kachemak Bay,5,"106","2",aws_user,2015-05-12 15:35:17.807,aws_user,2015-05-12 15:35:17.807
59,"0868",Kachemak Bay,10,"106","1",aws_user,2015-05-12 15:35:17.820,aws_user,2015-05-12 15:35:17.820
60,"0914",Kachemak Bay,5,"412","2",aws_user,2015-05-12 15:35:17.837,aws_user,2015-05-12 15:35:17.837
