"FILE_ID","FILE_NAME","SPECIES","SPECIES_GROUP","RESOLUTION","created_by","created_on"
1,LTDU_2030kbps,"410","4",HIGH,aws_user,2015-03-19 13:29:44.137
2,LTDU_590kbps,"410","4",LOW,aws_user,2015-03-19 13:29:58.107
3,ABDU_2030kbps,"203","2",HIGH,nandi_xie.gov,2015-03-30 16:52:50.633
4,ABDU_590kbps,"203","2",LOW,nandi_xie.gov,2015-03-30 16:52:50.650
5,AGWT_2030kbps,"205","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.593
6,AGWT_590kbps,"205","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.593
7,AMBI_2030kbps,"708","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.593
8,AMBI_590kbps,"708","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.593
9,AMCO_2030kbps,"701","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.593
10,AMCO_590kbps,"701","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
11,AMWI_2030kbps,"211","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
12,AMWI_590kbps,"211","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
13,BAGO_2030kbps,"417","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
14,BAGO_590kbps,"417","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
15,BBWD_2030kbps,"501","5",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
16,BBWD_590kbps,"501","5",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
17,BLSC_2030kbps,"406","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
18,BLSC_590kbps,"406","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
19,BRAN_2030kbps,"104","1",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
20,BRAN_590kbps,"104","1",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
21,BUFF_2030kbps,"419","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
22,BUFF_590kbps,"419","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
23,BWTE_2030kbps,"206","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
24,BWTE_590kbps,"206","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
25,CAGO_2030kbps,"102","1",HIGH,nandi_xie.gov,2015-03-30 17:22:29.607
26,CAGO_590kbps,"102","1",LOW,nandi_xie.gov,2015-03-30 17:22:29.607
27,CANV_2030kbps,"306","3",HIGH,nandi_xie.gov,2015-03-30 17:22:29.623
28,CANV_590kbps,"306","3",LOW,nandi_xie.gov,2015-03-30 17:22:29.623
29,CITE_2030kbps,"207","2",HIGH,nandi_xie.gov,2015-03-30 17:22:29.623
30,CITE_590kbps,"207","2",LOW,nandi_xie.gov,2015-03-30 17:22:29.623
31,COEI_2030kbps,"401","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.623
32,COEI_590kbps,"401","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.623
33,COGO_2030kbps,"416","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.623
34,COGO_590kbps,"416","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.640
35,COLO_2030kbps,"601","6",HIGH,nandi_xie.gov,2015-03-30 17:22:29.640
36,COLO_590kbps,"601","6",LOW,nandi_xie.gov,2015-03-30 17:22:29.640
37,COME_2030kbps,"412","4",HIGH,nandi_xie.gov,2015-03-30 17:22:29.640
38,COME_590kbps,"412","4",LOW,nandi_xie.gov,2015-03-30 17:22:29.640
39,CORM_2030kbps,"712","7",HIGH,nandi_xie.gov,2015-03-30 17:22:29.640
40,CORM_590kbps,"712","7",LOW,nandi_xie.gov,2015-03-30 17:22:29.640
