"MLog","DeathDate","CauseID","OtherText","Euth","DeathLoc","Org","VetID","Comments","CreateBy","CreateDate","UpdateBy","UpdateDate"
1,1999-01-14 00:00:00.000,Unde,,1,AftRel,MSQ,unk,MSW9905,unk,1999-01-14 00:00:00.000,D,2009-07-09 10:09:34.293
2,2016-06-19 00:00:00.000,BoIm,acute,0,AftRel,MMPL,,,dszemer,2016-06-21 09:10:32.503,D,2016-06-21 09:10:32.503
3,2005-04-23 00:00:00.000,BoIm,,0,AftRel,FWCSW,unk,,unk,2005-04-23 00:00:00.000,D,2009-07-09 10:09:34.293
4,2006-06-09 00:00:00.000,BoIm,,0,AftRel,MMPL,unk,,dszemer,2006-10-02 00:00:00.000,D,2009-07-09 10:09:34.293
5,1998-02-25 00:00:00.000,NaOt,,0,Rehab,UNK,dmurphy,,swinslow,1998-02-25 00:00:00.000,D,2009-07-09 10:09:34.293
6,2010-01-25 00:00:00.000,Unde,,0,AftRel,,,,dszemer,2010-02-03 11:44:01.280,D,2010-02-03 11:44:01.280
8,1999-02-10 00:00:00.000,BoIm,,0,Rehab,UNK,dmurphy,,lsalisbury,1999-02-12 00:00:00.000,D,2009-07-09 10:09:34.293
9,1999-07-29 00:00:00.000,BoIm,,0,Rehab,UNK,dmurphy,,lsalisbury,1999-07-30 00:00:00.000,D,2009-07-09 10:09:34.293
10,1999-04-15 00:00:00.000,NaOt,,0,Rehab,UNK,dmurphy,emaciation,jhackshaw,1999-04-15 00:00:00.000,D,2009-07-09 10:09:34.293
12,1999-06-10 00:00:00.000,Othe,,0,Rehab,UNK,dmurphy,,jhackshaw,1999-06-10 00:00:00.000,D,2009-07-09 10:09:34.293
13,2001-01-22 00:00:00.000,BoIm,,0,Rehab,LPZ,dmurphy,"Infection due to boat strike, had a  dependent calf Lowry",jhackshaw,2001-01-26 00:00:00.000,D,2009-07-09 10:09:34.293
14,2003-04-05 00:00:00.000,NaRe,,0,AftRel,MMPL,,,dszemer,2018-11-08 11:31:36.740,D,2018-11-08 11:31:36.740
15,1977-04-09 00:00:00.000,BoUn,,0,Rehab,UNK,unk,also emaciated,unk,1977-04-09 00:00:00.000,D,2009-07-09 10:09:34.293
39,1988-05-24 00:00:00.000,BoIm,,0,PriorTr,UNK,unk,"hemorrage, pneumothorax",unk,1988-05-24 00:00:00.000,D,2009-07-09 10:09:34.293
40,1990-01-01 00:00:00.000,Othe,,0,Rehab,UNK,unk,calf of Lorelei,unk,1990-01-01 00:00:00.000,D,2009-07-09 10:09:34.293
41,1982-01-16 00:00:00.000,NaOt,,0,PriorTr,UNK,unk,septecemia,unk,1982-01-16 00:00:00.000,D,2009-07-09 10:09:34.293
42,1976-11-01 00:00:00.000,Othe,,0,Rehab,UNK,unk,"enteritis, septicemia",unk,1976-11-01 00:00:00.000,D,2009-07-09 10:09:34.293
43,1984-11-20 00:00:00.000,BoPr,,0,Rehab,UNK,unk,,unk,1984-11-20 00:00:00.000,D,2009-07-09 10:09:34.293
44,1977-01-27 00:00:00.000,Unde,,0,Rehab,UNK,unk,septecemia,unk,1977-01-27 00:00:00.000,D,2009-07-09 10:09:34.293
45,1978-02-03 00:00:00.000,NaOt,,0,Rehab,UNK,unk,infection  in small intestines,unk,1978-02-03 00:00:00.000,D,2009-07-09 10:09:34.293
46,1978-02-14 00:00:00.000,NaOt,,0,PriorTr,UNK,unk,unidentified skin disease,unk,1978-02-14 00:00:00.000,D,2009-07-09 10:09:34.293
47,1978-03-01 00:00:00.000,NaOt,,0,Rehab,UNK,unk,possible abortion & pneumonia?,unk,1978-03-01 00:00:00.000,D,2009-07-09 10:09:34.293
48,1984-04-19 00:00:00.000,BoBo,,0,Rehab,UNK,unk,,unk,1984-04-19 00:00:00.000,D,2009-07-09 10:09:34.293
49,1997-11-22 00:00:00.000,Othe,,0,PriorTr,UNK,unk,enteritus,unk,1997-11-22 00:00:00.000,D,2009-07-09 10:09:34.293
50,1997-12-21 00:00:00.000,Othe,,0,Trans,UNK,unk,"during transport, constipation",unk,1997-12-21 00:00:00.000,D,2009-07-09 10:09:34.293
51,1990-05-12 00:00:00.000,BoBo,,0,Rehab,UNK,unk,,unk,1990-05-12 00:00:00.000,D,2009-07-09 10:09:34.293
54,1995-01-11 00:00:00.000,BoPr,,0,PriorTr,UNK,unk,,unk,1995-01-11 00:00:00.000,D,2009-07-09 10:09:34.293
55,1991-06-06 00:00:00.000,Othe,,0,PriorTr,UNK,unk,thermally depressed and lethargic,unk,1991-06-06 00:00:00.000,D,2009-07-09 10:09:34.293
56,1995-07-24 00:00:00.000,NaOt,,0,PriorTr,UNK,mlowe,"animal died at boat ramp, bilateral pneumonia",tlinley,1995-07-24 00:00:00.000,D,2009-07-09 10:09:34.293
57,1991-04-12 00:00:00.000,BoPr,,0,PriorTr,UNK,unk,,nadimey,1991-04-12 00:00:00.000,D,2009-07-09 10:09:34.293
62,2010-03-24 00:00:00.000,EnOt,"Entanglement was a plastic strap like from a newpaper bundle originally that she had for 15 months, but then continued to have abcessing from the scar it created on the ribs for many years.",0,Rehab,MSQ,mrodriguez,The bilateral abcessing from the scar had been sporadic for years but always external that responded to treatment.  Ultimately she abcessed internally and it created a pyothorax. ,mrodriguez,2010-04-12 10:04:13.987,D,2010-04-12 10:04:13.987
63,1997-05-27 00:00:00.000,HumI,plastic material blocking cecum,0,PriorTr,MMPL,unk,,unk,1997-05-27 00:00:00.000,dszemer,2012-05-02 13:42:39.550
65,2006-02-08 00:00:00.000,Deco,"",0,AftRel,FWCT,unk,too decomposed,dszemer,2006-02-08 00:00:00.000,D,2009-07-09 10:09:34.293
67,2002-04-27 00:00:00.000,BoIm,,0,Rehab,MSQ,mrodriguez,,cplante,2002-05-08 00:00:00.000,D,2009-07-09 10:09:34.293
68,2000-10-09 00:00:00.000,Othe,,0,Rehab,UNK,mrodriguez,congenital,jhoyo,2000-10-20 00:00:00.000,D,2009-07-09 10:09:34.293
70,1997-08-10 00:00:00.000,BoIm,,0,PriorTr,UNK,mrodriguez,,rrose,1997-08-11 00:00:00.000,D,2009-07-09 10:09:34.293
71,1997-11-04 00:00:00.000,Othe,,0,Rehab,UNK,mrodriguez,infection from umbillical area,boucher,1997-11-05 00:00:00.000,D,2009-07-09 10:09:34.293
72,2014-02-10 00:00:00.000,Unde,tear and impaction of colon from unknown origin,0,AftRel,MMPL,,,dszemer,2014-02-14 10:17:07.237,D,2014-02-14 10:17:07.237
74,2016-01-06 00:00:00.000,BoIm,,0,Trans,MMPL,,,ahowell,2016-03-25 07:45:25.733,D,2016-03-25 07:45:25.733
75,1999-08-16 00:00:00.000,BoPr,,0,Rehab,UNK,mrodriguez,,rrose,1999-08-16 00:00:00.000,D,2009-07-09 10:09:34.293
77,1991-05-22 00:00:00.000,BoIm,,0,PriorTr,UNK,unk,,nadimey,1991-05-22 00:00:00.000,D,2009-07-09 10:09:34.293
82,1995-03-23 00:00:00.000,Othe,,0,Rehab,UNK,dmoore,accident drowning,amignucci,1995-05-28 00:00:00.000,D,2009-07-09 10:09:34.293
83,1995-07-29 00:00:00.000,Othe,,0,Rehab,UNK,lfigueroao,entercolitis,amignucci,1995-07-29 00:00:00.000,D,2009-07-09 10:09:34.293
84,1998-12-16 00:00:00.000,Othe,,0,Rehab,UNK,abenitezbi,hurricane caused separation from mom-natuural,amignucci,1998-10-01 00:00:00.000,D,2009-07-09 10:09:34.293
85,1997-01-23 00:00:00.000,Othe,,0,Rehab,UNK,lfigueroao,entercolitis,amignucci,1997-01-23 00:00:00.000,D,2009-07-09 10:09:34.293
86,1997-10-11 00:00:00.000,BoUn,,0,PriorTr,UNK,lfigueroao,subdermal hemorrage,amignucci,1997-10-11 00:00:00.000,D,2009-07-09 10:09:34.293
87,1999-06-23 00:00:00.000,Othe,,0,Rehab,UNK,lfigueroao,pneumatosis intestinales,amignucci,1999-06-23 00:00:00.000,D,2009-07-09 10:09:34.293
88,1999-07-25 00:00:00.000,Othe,,0,Rehab,UNK,lfigueroao,"premature, emaciated",rodriguezl,1999-07-25 00:00:00.000,D,2009-07-09 10:09:34.293
89,1999-10-05 00:00:00.000,Othe,,0,Rehab,UNK,lfigueroao,Intoxication diesel,amignucci,1999-10-06 00:00:00.000,D,2009-07-09 10:09:34.293
90,2005-02-27 00:00:00.000,Unde,"",0,AftRel,CSN,lfigueroao,,nadimey,2005-02-27 00:00:00.000,D,2009-07-09 10:09:34.293
92,2000-10-26 00:00:00.000,NaOt,,0,PriorTr,UNK,lfigueroao,Animal reported sick; mucous fluids in nares.,amignucci,2000-12-05 00:00:00.000,D,2009-07-09 10:09:34.293
94,2000-03-14 00:00:00.000,BoUn,,0,PriorTr,UNK,unk,,unk,2000-03-14 00:00:00.000,D,2009-07-09 10:09:34.293
102,1994-09-24 00:00:00.000,Othe,,0,PriorTr,UNK,unk,natural-bacteria in urine,unk,1994-09-24 00:00:00.000,D,2009-07-09 10:09:34.293
114,2000-04-20 00:00:00.000,BoUn,,0,Trans,UNK,unk,during transport,unk,2000-04-20 00:00:00.000,D,2009-07-09 10:09:34.293
115,1999-04-11 00:00:00.000,NaOt,,0,PriorTr,UNK,dbuesse,emaciated & unresponsive,cthomas,1999-04-14 00:00:00.000,D,2009-07-09 10:09:34.293
116,1999-09-21 00:00:00.000,Othe,,0,PriorTr,UNK,unk,,unk,1999-09-21 00:00:00.000,D,2009-07-09 10:09:34.293
126,2000-12-23 00:00:00.000,NaCs,,0,PriorTr,UNK,unk,Cold Stress,unk,2000-12-23 00:00:00.000,D,2009-07-09 10:09:34.293
129,1999-03-12 00:00:00.000,BoUn,,0,PriorTr,UNK,unk,,pcook,1999-03-18 00:00:00.000,D,2009-07-09 10:09:34.293
131,1999-12-31 00:00:00.000,NaOt,,0,Rehab,UNK,mrodriguez,"lung abscess, emactiated",rrose,1999-12-31 00:00:00.000,D,2009-07-09 10:09:34.293
132,2004-11-20 00:00:00.000,BoIm,,0,AftRel,LPZ,unk,,unk,2004-11-20 00:00:00.000,D,2009-07-09 10:09:34.293
133,2013-04-01 00:00:00.000,NaRe,,0,AftRel,MMPL,,,dszemer,2014-01-24 11:09:52.483,dszemer,2015-03-06 09:44:31.717
135,2000-05-16 00:00:00.000,Othe,,0,PriorTr,UNK,unk,"emaciated, no known signs for death",unk,2000-05-16 00:00:00.000,D,2009-07-09 10:09:34.293
137,2000-10-30 00:00:00.000,BoUn,,0,Rehab,UNK,dmurphy,,jhackshaw,2000-10-30 00:00:00.000,D,2009-07-09 10:09:34.293
138,2000-10-28 00:00:00.000,BoUn,,0,Rehab,UNK,dmurphy,,jhackshaw,2000-10-30 00:00:00.000,D,2009-07-09 10:09:34.293
144,1996-09-04 00:00:00.000,BoUn,,0,Trans,UNK,unk,died at boat ramp,unk,1996-09-04 00:00:00.000,D,2009-07-09 10:09:34.293
146,1997-04-24 00:00:00.000,BoUn,,0,PriorTr,UNK,unk,,unk,1997-04-24 00:00:00.000,D,2009-07-09 10:09:34.293
148,1997-08-25 00:00:00.000,BoUn,,0,PriorTr,UNK,unk,animal was pregnant,unk,1997-08-25 00:00:00.000,D,2009-07-09 10:09:34.293
149,1997-11-12 00:00:00.000,NaRe,,0,PriorTr,UNK,unk,Red Tide related,unk,1997-11-12 00:00:00.000,D,2009-07-09 10:09:34.293
151,1998-03-25 00:00:00.000,NaOt,,0,PriorTr,UNK,unk,"enteritus, emaciation",unk,1998-03-25 00:00:00.000,D,2009-07-09 10:09:34.293
152,1998-05-06 00:00:00.000,Othe,,0,PriorTr,UNK,unk,"lethargic, emaciated, died during transport",unk,1998-05-06 00:00:00.000,D,2009-07-09 10:09:34.293
153,1998-06-06 00:00:00.000,EnHo,,0,Rehab,LPZ,dmurphy,"ingestion of fish hook, emaciated",swinslow,1998-06-08 00:00:00.000,dszemer,2010-12-08 11:50:33.817
156,1999-03-12 00:00:00.000,Othe,,0,PriorTr,UNK,unk,Cold Stress,lkeith,1999-03-13 00:00:00.000,D,2009-07-09 10:09:34.293
157,1999-04-14 00:00:00.000,Othe,,0,PriorTr,UNK,unk,necrosis of umbillical vein by umbillicus,unk,1999-04-14 00:00:00.000,D,2009-07-09 10:09:34.293
158,1999-04-21 00:00:00.000,BoUn,,0,PriorTr,UNK,unk,possible pneuomia,unk,1999-04-21 00:00:00.000,D,2009-07-09 10:09:34.293
160,1986-06-22 00:00:00.000,BoIm,,0,PriorTr,UNK,mwalsh,"injuries from trauma, septicemia or toxemia",bwagoner,1986-06-22 00:00:00.000,D,2009-07-09 10:09:34.293
161,1997-05-25 00:00:00.000,EnHo,,0,Rehab,SWF,mwalsh,"Speticemina, Fish hook in intestines",dbuesse,1997-05-26 00:00:00.000,dszemer,2015-12-09 07:53:39.690
162,1986-09-15 00:00:00.000,BoIm,,0,Rehab,UNK,mwalsh,,bwagoner,1986-09-15 00:00:00.000,D,2009-07-09 10:09:34.293
163,1987-01-07 00:00:00.000,BoUn,,0,Rehab,UNK,unk,,unk,1987-01-07 00:00:00.000,D,2009-07-09 10:09:34.293
169,1980-02-21 00:00:00.000,Unde,,0,Rehab,UNK,mwalsh,,bwagoner,1980-02-21 00:00:00.000,D,2009-07-09 10:09:34.293
171,1987-09-25 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,intestinal ileus w/ secondary respiratory compromi,jpearson,1987-09-25 00:00:00.000,D,2009-07-09 10:09:34.293
173,1987-12-15 00:00:00.000,BoPr,,0,Rehab,UNK,dbuesse,,bwagoner,1987-12-15 00:00:00.000,D,2009-07-09 10:09:34.293
175,1988-01-17 00:00:00.000,NaCs,,0,Rehab,UNK,mwalsh,Cold stress,bwagoner,1988-01-17 00:00:00.000,D,2009-07-09 10:09:34.293
177,1998-03-13 00:00:00.000,NaOt,,0,AftRel,MMPL,,,dszemer,2015-10-02 10:55:35.517,D,2015-10-02 10:55:35.517
178,1988-05-18 00:00:00.000,BoPr,,0,Rehab,UNK,mwalsh,,bwagoner,1988-05-18 00:00:00.000,D,2009-07-09 10:09:34.293
179,1982-08-28 00:00:00.000,Othe,,0,Rehab,UNK,gbossart,stuck in pool drain & drowned,jhoyo,1982-08-28 00:00:00.000,D,2009-07-09 10:09:34.293
181,1988-07-25 00:00:00.000,BoUn,,0,Rehab,UNK,unk,,unk,1988-07-25 00:00:00.000,D,2009-07-09 10:09:34.293
182,1988-09-04 00:00:00.000,BoPr,,0,Rehab,UNK,mwalsh,secondary infection & emactiona,bwagoner,1988-09-04 00:00:00.000,D,2009-07-09 10:09:34.293
183,1989-03-17 00:00:00.000,BoUn,,0,Rehab,UNK,gbossart,,jhoyo,1989-03-17 00:00:00.000,D,2009-07-09 10:09:34.293
185,1989-01-07 00:00:00.000,NaOt,,0,PriorTr,UNK,unk,"bacterial dermititus, died 10 upon arrival at SWF",unk,1989-01-07 00:00:00.000,D,2009-07-09 10:09:34.293
186,1989-04-09 00:00:00.000,BoPr,,0,Rehab,UNK,mwalsh,,jpearson,1989-04-09 00:00:00.000,D,2009-07-09 10:09:34.293
189,2009-07-16 00:00:00.000,NaOt,"No obvious signs of death, speculation od COD to be exhaustion from ""ovemating"", overweight, otherwise appears healthy",0,AftRel,MMPL,,,nadimey,2009-09-08 09:33:23.850,D,2009-09-08 09:33:23.850
194,1992-09-25 00:00:00.000,NaOt,,0,Rehab,UNK,mwalsh,"Hemorrhage, due to birth of calf.",bwagoner,1992-09-28 00:00:00.000,D,2009-07-09 10:09:34.293
195,1983-12-28 00:00:00.000,EnCr,,0,Rehab,UNK,mwalsh,"crab trap around neck and right flipper, drowned?",bwagoner,1983-12-28 00:00:00.000,D,2009-07-09 10:09:34.293
196,1984-05-23 00:00:00.000,BoPr,,1,Rehab,UNK,mwalsh,euthanized/ BS20,bwagoner,1984-05-23 00:00:00.000,D,2009-07-09 10:09:34.293
197,1991-08-20 00:00:00.000,TrCu,,0,AftRel,UNK,mwalsh,died in storm water drain,bbonde,1991-08-18 00:00:00.000,D,2009-07-09 10:09:34.293
198,1984-07-21 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,"poor nutritional status, emaciation",bwagoner,1984-07-21 00:00:00.000,D,2009-07-09 10:09:34.293
199,2006-08-03 00:00:00.000,Deco,"",0,AftRel,MMPL,unk,"Undetermined; too decompoosed.  brevetoxin detected in liver, kidney, lung; relatively empty, fluid-filled upper GI tract; sea grass in mouth; autolyzed internal organs",dszemer,2006-10-02 00:00:00.000,D,2009-07-09 10:09:34.293
201,1989-08-29 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,Natural,jpearson,1989-08-29 00:00:00.000,D,2009-07-09 10:09:34.293
202,1989-10-13 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,Chronic cholitus,jpearson,1989-10-13 00:00:00.000,D,2009-07-09 10:09:34.293
203,1991-11-03 00:00:00.000,NaOt,,0,Rehab,UNK,mcampbell,"Chronic Colitis, lung abscessation and septicemia",bwagoner,1991-11-05 00:00:00.000,D,2009-07-09 10:09:34.293
204,1989-11-30 00:00:00.000,BoIm,,0,Rehab,UNK,mcampbell,,bwagoner,1989-11-30 00:00:00.000,D,2009-07-09 10:09:34.293
205,1989-12-11 00:00:00.000,BoPr,,0,Rehab,UNK,mwalsh,,jpearson,1989-12-11 00:00:00.000,D,2009-07-09 10:09:34.293
207,1993-12-05 00:00:00.000,NaOt,,0,AftRel,UNK,mwalsh,"emaciated, cacexic",llefebvre,1993-12-16 00:00:00.000,D,2009-07-09 10:09:34.293
208,1990-01-30 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,,bwagoner,1990-01-31 00:00:00.000,D,2009-07-09 10:09:34.293
210,1997-03-11 00:00:00.000,BoBo,,0,AftRel,MMPL,,,dszemer,2019-05-02 09:00:45.493,D,2019-05-02 09:00:45.493
212,1990-04-06 00:00:00.000,NaOt,,0,Rehab,UNK,mwalsh,"toxic, dead calf, dystocia",bwagoner,1990-04-10 00:00:00.000,D,2009-07-09 10:09:34.293
213,1990-04-27 00:00:00.000,BoPr,,0,Trans,UNK,mwalsh,died in transport,bwagoner,1990-04-27 00:00:00.000,D,2009-07-09 10:09:34.293
214,2013-12-13 00:00:00.000,Unde,,0,AftRel,MMPL,,,dszemer,2014-01-24 11:37:29.113,D,2014-01-24 11:37:29.113
216,1981-06-15 00:00:00.000,Othe,,0,PriorTr,UNK,gbossart,aborted fetus of Amanada,gbossart,1981-06-15 00:00:00.000,D,2009-07-09 10:09:34.293
218,1990-08-09 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,Natural-Pseudomembranous enterocolitis,bwagoner,1990-08-09 00:00:00.000,D,2009-07-09 10:09:34.293
221,1994-10-26 00:00:00.000,NaOt,,0,AftRel,UNK,gbossart,infection in stomach & duodenum,jhoyo,1994-10-26 00:00:00.000,D,2009-07-09 10:09:34.293
222,1990-08-08 00:00:00.000,Othe,,0,PriorTr,UNK,mwalsh,malnutrition,bwagoner,1990-08-09 00:00:00.000,D,2009-07-09 10:09:34.293
224,1990-09-17 00:00:00.000,BoPr,,0,PriorTr,UNK,mwalsh,,bwagoner,1990-09-17 00:00:00.000,D,2009-07-09 10:09:34.293
225,1990-10-06 00:00:00.000,NaOt,,0,Rehab,UNK,mwalsh,gatrointestinal infection,jpearson,1990-10-10 00:00:00.000,D,2009-07-09 10:09:34.293
226,1990-11-14 00:00:00.000,BoUn,,0,Rehab,UNK,mwalsh,"pyothorax, rib ftacture & right lung",jpearson,1990-11-15 00:00:00.000,D,2009-07-09 10:09:34.293
227,1982-09-24 00:00:00.000,Othe,,0,Rehab,UNK,unk,stuck in pool drain & drowned,unk,1982-09-24 00:00:00.000,D,2009-07-09 10:09:34.293
229,1990-12-10 00:00:00.000,BoUn,,0,PriorTr,UNK,mwalsh,bacterial septicemia,jpearson,1990-12-11 00:00:00.000,D,2009-07-09 10:09:34.293
230,1990-12-14 00:00:00.000,NaOt,,0,Rehab,UNK,gbossart,intestial impaction,jhoyo,1990-12-20 00:00:00.000,D,2009-07-09 10:09:34.293
231,2012-05-02 00:00:00.000,BoIm,acute,0,AftRel,MMPL,,,dszemer,2013-08-29 11:14:25.457,D,2013-08-29 11:14:25.457
232,1991-03-20 00:00:00.000,BoUn,,0,Rehab,UNK,mwalsh,,tcampbell,1991-03-20 00:00:00.000,D,2009-07-09 10:09:34.293
233,2016-08-12 00:00:00.000,Unde,too decomposed,0,AftRel,FWCIR,,,dszemer,2017-04-04 06:31:18.033,D,2017-04-04 06:31:18.033
234,1991-05-08 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,"pneumonia, septicemia",bwagoner,1991-08-14 00:00:00.000,D,2009-07-09 10:09:34.293
235,1991-05-21 00:00:00.000,Othe,,0,Rehab,UNK,mwalsh,stomach impaction,mwalsh,1991-05-23 00:00:00.000,D,2009-07-09 10:09:34.293
236,1991-05-24 00:00:00.000,Othe,,0,PriorTr,UNK,unk,sting ray spine embedded in chest,unk,1991-05-24 00:00:00.000,D,2009-07-09 10:09:34.293
