"MLog","RelDate","RelSite","State","County","City","Waterway","BottomFeed","NatVeg","VegType","MonthsVeg","DisplayType","RelType","MonthsExpWater","Tracker","PartOrg","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
1,1997-06-17 00:00:00.000,"Tarpon Bay Recreation Area Canoe Ramp, Sanibel Isl",FL,Lee,Sanibel Island,Tarpon Bay,0,0,,"00",U,U,"00",,,dmurphy,420,N,1997-06-17 00:00:00.000,292,N,1997-06-17 00:00:00.000,MSW9905,LPZ,swinslow,1997-06-17 00:00:00.000,D,2009-07-09 15:37:31.523
2,1998-05-06 00:00:00.000,"JN Ding Darling NWR, Tarpon Bay Recreation Area Ca",FL,Lee,Sanibel Island,Tarpon Bay,0,0,,"00",U,U,"00",,,dmurphy,390,N,1998-05-06 00:00:00.000,282,N,1998-05-06 00:00:00.000,,LPZ,dhalin,1998-05-01 00:00:00.000,D,2009-07-09 15:37:31.523
3,1997-06-24 00:00:00.000,"Off of Shell Island road, Hall bay, Rookery Bay",FL,Collier,Port Charlotte,Rookery Bay,0,0,,"00",U,U,"00",,,dmurphy,229,N,1997-06-24 00:00:00.000,213,N,1997-06-24 00:00:00.000,MSW0578,LPZ,swinslow,1997-06-25 00:00:00.000,D,2009-07-09 15:37:31.523
4,1998-05-06 00:00:00.000,"Tarpon Bay Recreation Area Canoe Ramp, Sanibel Isl",FL,Lee,Sanibel Island,Tarpon Bay,0,0,,"00",U,U,"00",,,dmurphy,318,N,1998-05-06 00:00:00.000,249,N,1998-05-06 00:00:00.000,,LPZ,swinslow,1998-05-07 00:00:00.000,D,2009-07-09 15:37:31.523
6,2000-03-15 00:00:00.000,Everglades,FL,Miami/Dade,Flamingo,Coot Bay,0,0,,"00",U,U,"00",,,mrodriguez,400,N,2000-03-15 00:00:00.000,244,N,2000-03-15 00:00:00.000,MSTm9903,MSQ,rrose,2000-04-03 00:00:00.000,D,2009-07-09 15:37:31.523
7,1999-08-19 00:00:00.000,Landing on Mason Creek at the end of Mason Creek R,FL,Citrus,Homosassa,Mason Creek,0,0,,"00",U,U,"00",,,dmurphy,418,N,1999-08-19 00:00:00.000,276,N,1999-08-19 00:00:00.000,,LPZ,lsalisbury,1999-08-17 00:00:00.000,D,2009-07-09 15:37:31.523
11,1999-08-19 00:00:00.000,Landing on Mason Creek at the end of Mason Creek R,FL,Citrus,Homosassa,Mason Creek,0,0,,"00",U,U,"00",,,dmurphy,290,N,1999-08-19 00:00:00.000,240,N,1999-08-19 00:00:00.000,,LPZ,jhackshaw,1999-08-17 00:00:00.000,D,2009-07-09 15:37:31.523
14,2000-11-20 00:00:00.000,Off manatee Ave.west,FL,Manatee,Palma Sola,Palma Sola Yacht Basin,0,0,,"00",U,U,"00",,,dmurphy,290,N,2000-11-20 00:00:00.000,239,N,2000-11-20 00:00:00.000,,LPZ,jhackshaw,2000-10-30 00:00:00.000,D,2009-07-09 15:37:31.523
64,1999-10-13 00:00:00.000,Islamorada,FL,Monroe,Islamorada,Florida Bay,0,0,,"00",U,U,"00",,,mrodriguez,409,U,1999-10-13 00:00:00.000,252,U,1999-10-13 00:00:00.000,,MSQ,rrose,1999-10-13 00:00:00.000,D,2009-07-09 15:37:31.523
65,2002-02-27 00:00:00.000,Riveria Power Plant,FL,Palm Beach,Riveria Beach,Intercoastal Waterway,0,0,,"00",U,U,"00",,,mrodriguez,272,N,2002-01-15 00:00:00.000,223,N,2002-01-15 00:00:00.000,,MSQ,cplante,2002-04-03 00:00:00.000,D,2009-07-09 15:37:31.523
