"MLog","ReqHalfYr","ReqYear","Health","HealthDiag","Bloods","Status","Time","Weight","EstW","WDate","Length","EstL","LDate","VetID","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
62,"1",2009,G,She is still constantly abcessing and draining around her scar.,U,CondRel,G,670,N,2008-09-23 00:00:00.000,297,N,2009-03-10 00:00:00.000,mrodriguez,MSQ,mrodriguez,2009-03-10 00:00:00.000,D,2009-07-09 10:54:07.033
62,"1",2010,C,"Phyllis has been hightened to highly critical, we expect to possibly have to address her scar by either cutting into the rib or removing a section of the rib on one side if she continues to deteriorate.",A,CondRel,G,450,Y,2010-02-10 00:00:00.000,295,N,2009-10-15 00:00:00.000,mrodriguez,MSQ,mrodriguez,2010-02-10 11:48:26.710,D,2010-02-10 11:48:26.710
62,"2",2009,G,,A,CondRel,G,304,N,2008-09-23 00:00:00.000,297,N,2009-09-23 00:00:00.000,mrodriguez,MSQ,mrodriguez,2009-08-27 14:42:22.143,nadimey,2009-08-27 15:39:42.437
200,"1",2009,S,No current health issues,U,CondRel,G,885,N,2009-03-17 00:00:00.000,366,N,2009-03-17 00:00:00.000,mcampbell,CIN,mcampbell,2009-03-12 00:00:00.000,D,2009-07-09 10:54:07.033
200,"1",2010,S,normal healthy,X,CondRel,G,891,N,2009-10-17 00:00:00.000,365,N,2009-09-22 00:00:00.000,dmurphy,LPZ,vedmonds,2010-03-06 20:59:50.030,D,2010-03-06 20:59:50.030
200,"1",2013,S,"No pending medical issues at this time, he is still a little thin, we need to continue monitoring his weight.",N,CondNon,G,577,N,2013-02-13 00:00:00.000,310,N,2013-02-13 00:00:00.000,sgearhart,SWF,bwagoner,2013-03-12 13:50:41.050,D,2013-03-12 13:50:41.050
200,"1",2014,S,"No health abnormalities currently, but his reduced appetite was medically managed for several weeks post-transport to The Seas.  ",N,CondNon,G,655,N,2014-01-14 00:00:00.000,318,N,2014-01-14 00:00:00.000,enolan,LVS,lmcduffie,2014-01-15 13:18:43.710,D,2014-01-15 13:18:43.710
200,"1",2015,S,"No health abnormalities currently, but animal has resolving abscesses.  Also he has had intermittent bouts of reduced appetite with environmental changes.",N,CondNon,G,694,N,2015-01-06 00:00:00.000,353,N,2015-01-06 00:00:00.000,enolan,LVS,jdavis,2015-01-15 15:16:41.410,D,2015-01-15 15:16:41.410
200,"1",2017,S,"No health abnormalities currently, but animal has resolving abscesses.  Also he has had intermittent bouts of reduced appetite with environmental changes.",N,CondNon,G,759,N,2017-01-17 00:00:00.000,335,N,2017-01-17 00:00:00.000,enolan,LVS,jdavis,2017-03-17 11:46:35.847,D,2017-03-17 11:46:35.847
200,"1",2018,S,"No health abnormalities currently, but animal has resolving abscesses.  Also he has had intermittent bouts of reduced appetite with environmental changes.",N,CondNon,G,766,N,2017-12-12 00:00:00.000,366,N,2017-12-12 00:00:00.000,enolan,LVS,jdavis,2018-03-09 11:37:08.510,D,2018-03-09 11:37:08.510
200,"1",2019,S,Apparently healthy animal with chronic scarring and deep SQ abscessation.,N,CondNon,G,699,N,2019-01-17 00:00:00.000,300,N,2019-01-17 00:00:00.000,enolan,LVS,jdavis,2019-03-29 13:30:20.520,D,2019-03-29 13:30:20.520
200,"1",2020,S,Apparently healthy animal with chronic scarring and deep SQ abscessation.,N,CondNon,G,703,N,2020-03-05 00:00:00.000,362,N,2020-03-05 00:00:00.000,enolan,LVS,lmcduffie,2020-03-21 10:14:15.140,D,2020-03-21 10:14:15.140
200,"1",2021,S,Chronic active bilateral hind end abscessation and intermittent reduced appetite.  Currently undergoing treatment for recent flare-up of abscessation on his left hind end. ,N,CondNon,G,715,N,2021-01-19 00:00:00.000,348,N,2021-01-19 00:00:00.000,enolan,LVS,lmcduffie,2021-03-13 07:22:11.177,D,2021-03-13 07:22:11.177
200,"1",2022,S,"Chronic subcutaneous abscesses on caudal dorsum. General anesthesia and surgical debridement pursued on 17Feb22 for abscess treatment. Currently undergoing therapy for post-operative azotemia, anemia and possible gastrointestinal ulcers.  ",A,CondNon,G,818,Y,2021-07-22 00:00:00.000,345,N,2021-07-22 00:00:00.000,enolan,LVS,lmcduffie,2022-03-07 12:37:55.380,D,2022-03-07 12:37:55.380
200,"1",2023,S,Chronic subcutaneous abscesses on caudal dorsum surgically debrided  17Feb22 now healed. Intermittent episodes of reduced appetite of unknown origin. Systemic condition is otherwise stable. Blood work WNL 31Jan23 with a new active abscess.,N,CondNon,G,825,N,2023-01-31 00:00:00.000,340,N,2023-02-23 00:00:00.000,enolan,LVS,lmcduffie,2023-02-27 09:18:47.760,D,2023-02-27 09:18:47.760
200,"1",2024,S,Chronic subcutaneous abscesses on caudal dorsum. Intermittent episodes of reduced appetite of unknown origin. Systemic condition otherwise stable. Recent bloodwork & physical exam (9Jan24) within normal limits.  Abscess sites continue to be monitored,N,CondNon,G,827,N,2024-01-09 00:00:00.000,348,N,2024-01-09 00:00:00.000,enolan,LVS,lmcduffie,2024-03-20 14:46:29.393,D,2024-03-20 14:46:29.393
200,"2",2009,S,normal healthy,N,CondRel,G,401,N,2009-03-17 00:00:00.000,366,N,2009-03-17 00:00:00.000,mcampbell,CIN,mcampbell,2009-08-26 12:36:00.743,D,2009-08-26 12:36:00.743
200,"2",2010,S,normal healthy,X,CondRel,G,771,N,2010-08-13 00:00:00.000,339,N,2010-08-13 00:00:00.000,testfac,LPZ,vedmonds,2010-08-23 09:21:06.113,D,2010-08-23 09:21:06.113
200,"2",2013,S,"No pending medical issues at this time, would like to see him put some more weight on, will continue to monitor him.",N,CondNon,G,638,N,2013-06-13 00:00:00.000,328,N,2013-05-21 00:00:00.000,sgearhart,SWF,bwagoner,2013-07-31 14:01:31.163,D,2013-07-31 14:01:31.163
200,"2",2014,S,"No health abnormalities currently, but animal has had intermittent bouts of reduced appetite with environmental changes.",N,CondNon,G,689,N,2014-07-03 00:00:00.000,325,N,2014-07-03 00:00:00.000,enolan,LVS,jdavis,2014-08-15 08:56:54.973,D,2014-08-15 08:56:54.973
200,"2",2015,S,"No health abnormalities currently, but animal has resolving abscesses.  Also he has had intermittent bouts of reduced appetite with environmental changes.",N,CondNon,G,739,N,2015-06-18 00:00:00.000,338,N,2015-06-18 00:00:00.000,enolan,LVS,lmcduffie,2015-08-22 12:50:53.933,D,2015-08-22 12:50:53.933
200,"2",2021,S,"Two recurrent injection site abscesses (currently stable), no other health concerns, gained weight this quarter. ",N,CondNon,G,818,N,2021-07-22 00:00:00.000,345,N,2021-07-22 00:00:00.000,enolan,LVS,lmcduffie,2021-08-17 13:18:49.643,D,2021-08-17 13:18:49.643
200,"2",2022,S,Chronic subcutaneous abscesses on caudal dorsum – surgically debrided on 17Feb22 and now healed. Intermittent episodes of reduced appetite of unknown origin. Systemic condition is otherwise stable. ,N,CondNon,G,781,N,2022-08-01 00:00:00.000,331,N,2022-08-16 00:00:00.000,enolan,LVS,lmcduffie,2022-08-23 12:24:53.990,D,2022-08-23 12:24:53.990
