"MLog","TagType","DateApplied","TagId","Info","Event","EventDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
1,Pit-L,1997-06-17 00:00:00.000,"0001133007",,Release,1997-06-17 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
1,Pit-R,1997-06-17 00:00:00.000,"00011E624F",,Release,1997-06-17 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
1,Radio,1997-06-17 00:00:00.000,TSW9709,,Release,1997-06-17 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
2,Pit-R,1998-05-06 00:00:00.000,"00004E0510",,Release,1998-05-06 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
3,Pit-L,1997-06-24 00:00:00.000,"00006FE93A",,Release,1997-06-24 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
3,Pit-R,1997-06-24 00:00:00.000,"00011E67A2",,Release,1997-06-24 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
4,FB,1998-05-06 00:00:00.000,"67",,Release,1998-05-06 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
4,Pit-L,1998-05-06 00:00:00.000,"0001133C31",,Release,1998-05-06 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
4,Pit-R,1998-05-06 00:00:00.000,"0000630AC6",,Release,1998-05-06 00:00:00.000,D,2008-05-14 00:00:00.000,dszemer,2010-06-25 10:59:14.347
6,FB,2000-03-15 00:00:00.000,"87",,Release,2000-03-15 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
6,Pit-L,2000-03-15 00:00:00.000,"000135A713",,Release,2000-03-15 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
6,Pit-R,2000-03-15 00:00:00.000,"00012530A4",,Release,2000-03-15 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
6,Radio,2000-03-15 00:00:00.000,,,Release,2000-03-15 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
7,FB,1999-08-19 00:00:00.000,"82",,Release,1999-08-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
7,Pit-L,1999-08-19 00:00:00.000,"00012A875F",,Release,1999-08-19 00:00:00.000,D,2008-05-14 00:00:00.000,dszemer,2016-12-01 10:22:05.653
7,Pit-R,1999-08-19 00:00:00.000,"00012A88F3",,Release,1999-08-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
11,FB,1999-08-19 00:00:00.000,"83",,Release,1999-08-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
11,Pit-L,1999-08-19 00:00:00.000,"0001302652",,Release,1999-08-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
11,Pit-R,1999-08-19 00:00:00.000,"00012B740C",,Release,1999-08-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
13,Pit-L,2000-10-25 00:00:00.000,"0001361622",,Death,2001-01-22 00:00:00.000,D,2008-05-14 00:00:00.000,dszemer,2011-09-22 14:03:06.880
13,Pit-R,2000-10-25 00:00:00.000,"000134DD39",,Death,2001-01-22 00:00:00.000,D,2008-05-14 00:00:00.000,dszemer,2011-09-22 14:03:57.397
64,FB,1999-10-13 00:00:00.000,"85",,Release,1999-10-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
64,Pit-L,1999-10-13 00:00:00.000,"0001296AAE",,Release,1999-10-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
64,Pit-R,1999-10-13 00:00:00.000,"0000F6B6B6",,Release,1999-10-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
64,PTT,2005-08-10 00:00:00.000,"4251",,Rescue,2005-08-10 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
64,Satellite,2004-11-09 00:00:00.000,,,Rescue,2004-11-09 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
65,FB,2002-02-27 00:00:00.000,"07",,Release,2002-02-27 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
65,Pit-L,2006-02-08 00:00:00.000,"000601DFAF",,Death,2006-02-08 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
65,Pit-R,2006-02-08 00:00:00.000,"0006010066",,Death,2006-02-08 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
66,FB,2001-03-29 00:00:00.000,"01",,Release,2001-03-29 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
66,Pit-L,2001-03-29 00:00:00.000,"000600D6BD",,Release,2001-03-29 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
66,Pit-R,2001-03-29 00:00:00.000,"000600CE69",,Release,2001-03-29 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
72,Pit-L,2000-03-01 00:00:00.000,"0000765C30",,Release,2000-03-01 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
72,Pit-R,2000-03-01 00:00:00.000,"00012536DA",,Release,2000-03-01 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
72,Radio,2000-03-01 00:00:00.000,,,Release,2000-03-01 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
74,FB,2003-06-11 00:00:00.000,Y1,,Release,2003-06-11 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
74,Pit-L,2003-04-30 00:00:00.000,"000600D642",,Release,2003-06-11 00:00:00.000,dszemer,2018-06-12 11:34:03.183,D,2018-06-12 11:34:03.183
74,Pit-R,2003-04-30 00:00:00.000,"00060104D1",,Release,2003-06-11 00:00:00.000,dszemer,2018-06-12 11:34:30.467,D,2018-06-12 11:34:30.467
76,FB,2001-04-11 00:00:00.000,"02",,Release,2001-04-11 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
76,Pit-L,2001-04-11 00:00:00.000,"0005FFF77A",,Release,2001-04-11 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
76,Pit-R,2001-04-11 00:00:00.000,"0005FFED84",,Release,2001-04-11 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
81,FB,1994-03-22 00:00:00.000,MO,,Release,1994-03-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
90,FB,2003-09-18 00:00:00.000,"592",,Release,2003-09-18 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
90,Pit-L,2005-02-27 00:00:00.000,"0006437301",,Death,2005-02-27 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
90,Pit-R,2005-02-27 00:00:00.000,"000643E7D2",,Death,2005-02-27 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
90,Satellite,2003-09-18 00:00:00.000,,,Release,2003-09-18 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
90,VHF,2003-09-18 00:00:00.000,,,Release,2003-09-18 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
105,Pit-L,1995-12-13 00:00:00.000,"0000716EFF",,Rescue,1995-12-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
105,Pit-R,1995-12-13 00:00:00.000,"000070C9FF",,Rescue,1995-12-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
122,FB,2001-06-13 00:00:00.000,"04",,Release,2001-06-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
122,Pit-L,2001-06-13 00:00:00.000,"00601C808",,Release,2001-06-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
122,Pit-R,2001-06-13 00:00:00.000,"0005FE65L5",,Release,2001-06-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
122,Satellite,2001-06-13 00:00:00.000,,,Release,2001-06-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
122,Sonic,2001-06-13 00:00:00.000,,,Release,2001-06-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
122,VHF,2001-06-13 00:00:00.000,,,Release,2001-06-13 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
132,Pit-L,2000-06-22 00:00:00.000,"000121FABA",,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
132,Pit-R,2000-06-22 00:00:00.000,"0001361BA5",,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
132,Radio,2000-06-22 00:00:00.000,,,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
133,FB,2000-06-22 00:00:00.000,XX,,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
133,Pit-L,2000-06-22 00:00:00.000,"000141BCE5",,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
133,Pit-R,2000-06-22 00:00:00.000,"000134CFC1",,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
133,Radio,2000-06-22 00:00:00.000,,,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
134,Pit-L,2000-06-22 00:00:00.000,"0000652F72",,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
134,Pit-R,2000-06-22 00:00:00.000,"00012FFEC8",,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
134,Radio,2000-06-22 00:00:00.000,,,Release,2000-06-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
139,Pit-L,2001-05-22 00:00:00.000,"0005FFF7DF",,Release,2001-05-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
139,Pit-R,2001-05-22 00:00:00.000,"0005FFFBC9",,Release,2001-05-22 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
154,Pit-L,1998-11-30 00:00:00.000,"00012B99D0",,Rescue,1998-11-30 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
154,Pit-R,1998-11-30 00:00:00.000,"000070C1FA",,Rescue,1998-11-30 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
161,FB,1992-05-28 00:00:00.000,N,,Release,1992-05-28 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
161,Radio,1992-05-28 00:00:00.000,,,Release,1992-05-28 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
165,FB,1987-05-27 00:00:00.000,"8",,Release,1987-05-27 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
170,Pit-L,1994-07-19 00:00:00.000,"000132EDE7",,Release,1994-07-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
170,Pit-R,1994-07-19 00:00:00.000,"0001DBEDE7",,Release,1994-07-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
170,Radio,1994-07-19 00:00:00.000,,,Release,1994-07-19 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
172,FB,1989-03-08 00:00:00.000,"14",,Release,1989-03-08 00:00:00.000,D,2008-05-14 00:00:00.000,D,2009-07-09 10:54:07.000
