"MLog","TransDate","Reason","FromFac","ToFac","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","CreateBy","CreateDate","UpdateBy","UpdateDate"
6,1999-05-11 00:00:00.000,Buddy,LPZ,MSQ,dmurphy,107,U,,0,U,,"MSTm9903, Tank mate for animal a Miami Seaquarium",jhackshaw,1999-05-11 00:00:00.000,D,2009-07-09 13:59:06.690
161,1988-02-10 00:00:00.000,Unk,SWF,HSSWP,mwalsh,,N,,,N,,,rrunnells,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
170,1993-06-24 00:00:00.000,Prep,MSQ,HSSWP,gbossart,840,N,,293,N,,For future release,jhoyo,1993-06-23 00:00:00.000,D,2009-07-09 13:59:06.690
170,1994-07-14 00:00:00.000,Prep,HSSWP,LPZ,mlowe,0,U,,302,N,,Pending results of pre release bloodwork,slieb,1994-07-07 00:00:00.000,D,2009-07-09 13:59:06.690
184,1993-11-23 00:00:00.000,Prep,MSQ,HSSWP,gbossart,863,N,,300,N,,For future release,jhoyo,1993-11-16 00:00:00.000,D,2009-07-09 13:59:06.690
184,1995-08-31 00:00:00.000,Prep,HSSWP,LPZ,gbossart,590,Y,,0,U,,Prepare for release,gbossart,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
197,1988-02-09 00:00:00.000,Unk,SWF,HSSWP,mwalsh,,N,,,N,,,bwagoner,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
200,1998-03-08 00:00:00.000,Room,SWF,SWC,mwalsh,504,N,,304,N,,To create rehab space at the Sea World of Florida as agreed in LOA,jpearson,1998-01-08 00:00:00.000,D,2009-07-09 13:59:06.690
200,2005-08-28 00:00:00.000,Mgmt,SWC,CIN,Unk,761,N,2005-12-28 00:00:00.000,0,U,2005-08-28 00:00:00.000,,mnoell,2006-01-13 00:00:00.000,D,2009-07-09 13:59:06.690
200,2009-10-17 00:00:00.000,Mgmt,CIN,LPZ,mcampbell,913,N,2009-09-22 00:00:00.000,365,N,2009-10-07 00:00:00.000,"Transfer went very well. Both animals flown from Cincinnati, OH to St. Pete, FL. Picked up by Lowry Park Zoo staff. ",mcampbell,2009-10-19 12:57:44.477,D,2009-10-19 12:57:44.477
200,2013-11-19 00:00:00.000,Buddy,SWF,LVS,sgearhart,666,N,2013-11-07 00:00:00.000,323,N,2013-11-07 00:00:00.000,The Living Seas staff will transport Lil Joe back from SWF to their facility on Tuesday (11/19/13) to be a companion animal for Lou.,bwagoner,2013-11-14 14:50:16.390,D,2013-11-14 14:50:16.390
211,1990-02-25 00:00:00.000,Med,HSSWP,SWF,mwalsh,36,N,,131,N,,For treatment,bwagoner,1995-06-02 00:00:00.000,D,2009-07-09 13:59:06.690
211,1995-08-17 00:00:00.000,Prep,SWF,HSSWP,mwalsh,611,N,,295,N,,Staging for future release.,bwagoner,1995-06-02 00:00:00.000,D,2009-07-09 13:59:06.690
223,1993-06-24 00:00:00.000,Prep,MSQ,HSSWP,gbossart,363,N,,262,N,,For future release,tlinley,1993-06-18 00:00:00.000,D,2009-07-09 13:59:06.690
223,1994-07-14 00:00:00.000,Prep,HSSWP,LPZ,mlowe,0,U,,281,N,,Pending results of pre release bloodwork,slieb,1994-07-07 00:00:00.000,D,2009-07-09 13:59:06.690
237,1984-08-04 00:00:00.000,Unk,MSQ,HSSWP,Unk,,N,,,N,,,unk,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
239,1994-08-16 00:00:00.000,Prep,SWF,MINWR,mwalsh,,N,,,N,,Temporary holding for direct release upon approval.,bwagoner,1995-03-20 00:00:00.000,D,2009-07-09 13:59:06.690
239,1994-09-15 00:00:00.000,Prep,MINWR,SWF,mwalsh,,N,,,N,,Temporary holding for direct release upon approval.,bwagoner,1995-03-20 00:00:00.000,D,2009-07-09 13:59:06.690
239,1995-05-01 00:00:00.000,Prep,SWF,MINWR,mwalsh,409,N,,284,N,,Temporary holding for direct release upon approval.,bwagoner,1995-03-20 00:00:00.000,D,2009-07-09 13:59:06.690
241,1998-01-25 00:00:00.000,Room,SWF,SWC,mwalsh,375,N,,285,N,,To create rehab space at Sea World Florida as agreed in LOA.,jpearson,1998-01-08 00:00:00.000,D,2009-07-09 13:59:06.690
241,2001-04-07 00:00:00.000,Prep,SWC,SWF,Unk,547,N,2001-03-23 00:00:00.000,287,N,2001-03-23 00:00:00.000,,unk,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
244,1991-11-15 00:00:00.000,Prep,LPZ,HSSWP,dmurphy,378,Y,,260,Y,,Relocation to prepare for release,lsalisbury,1991-11-05 00:00:00.000,D,2009-07-09 13:59:06.690
247,1984-08-04 00:00:00.000,Unk,MSQ,HSSWP,Unk,,N,,,N,,,unk,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
258,1986-07-14 00:00:00.000,Mgmt,MSQ,HSSWP,gbossart,,N,,,N,,"992027, segregation",jcaron,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
258,1992-04-16 00:00:00.000,Unk,HSSWP,LPZ,mlowe,,N,,,N,,"992027",tlinley,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
258,1993-04-14 00:00:00.000,Mgmt,LPZ,LVS,dmurphy,550,N,,280,N,,"992027, Per request of Lowry Park Zoo",lsalisbury,1993-04-07 00:00:00.000,D,2009-07-09 13:59:06.690
258,1999-05-17 00:00:00.000,Unk,LVS,SWF,mwalsh,,N,,,N,,"992027",mcampbell,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
258,1999-06-06 00:00:00.000,Room,SWF,COL,mwalsh,0,U,,320,N,,To help create room in the Florida Rehab Centers as agreed in LOA,bwagoner,1999-06-01 00:00:00.000,D,2009-07-09 13:59:06.690
258,2004-01-09 00:00:00.000,Buddy,COL,CIN,Unk,600,N,2004-01-04 00:00:00.000,332,N,2003-09-09 00:00:00.000,,dwarmolts,2004-01-12 00:00:00.000,D,2009-07-09 13:59:06.690
258,2004-07-10 00:00:00.000,Med,CIN,LPZ,mcampbell,,N,,,N,,,nadimey,2004-09-26 00:00:00.000,D,2009-07-09 13:59:06.690
261,1995-07-12 00:00:00.000,Prep,MSQ,MINWR,mrenner,297,N,,244,N,,Preparation for release,boucher,1995-07-07 00:00:00.000,D,2009-07-09 13:59:06.690
264,1980-03-18 00:00:00.000,Unk,SWF,Marineland,mwalsh,,N,,,N,,,bwagoner,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
264,1980-12-23 00:00:00.000,Unk,Marineland,HSSWP,mwalsh,,N,,,N,,,bwagoner,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
267,1986-07-14 00:00:00.000,Unk,MSQ,HSSWP,gbossart,,N,,,N,,,jcaron,2009-07-09 13:59:06.690,D,2009-07-09 13:59:06.690
