"Node ID",Title,"Date & Time",Habitat,Location,State,Method,Notes,"Number of Cranes","Spotter Username","Created Date"
4787,Observation,"1979-10-31 12:00:00",Wetland,"28.04353578, -81.136634",FL,"Point count",.,133,admin,"2019-07-18 19:15:20"
4788,Observation,"1979-10-31 12:00:00",Wetland,"28.27139561, -81.34376761",FL,"Point count",.,58,admin,"2019-07-18 19:15:20"
4789,Observation,"1979-10-31 12:00:00",Wetland,"29.00123874, -81.77822139",FL,"Point count",.,15,admin,"2019-07-18 19:15:20"
4790,Observation,"1979-10-31 12:00:00",Wetland,"29.60919692, -82.28189768",FL,"Point count",.,6,admin,"2019-07-18 19:15:20"
4791,Observation,"1979-10-31 12:00:00",Wetland,"29.73502246, -81.92167504",FL,"Point count",.,25,admin,"2019-07-18 19:15:20"
4792,Observation,"1979-10-31 12:00:00",Wetland,"30.79015611, -82.29045148",GA,"Ground count",.,118,admin,"2019-07-18 19:15:20"
4793,Observation,"1979-10-31 12:00:00",Wetland,"41.09617443, -86.93979938",IN,"Point count","GNR LOC OF MAIN ROOST",11900,admin,"2019-07-18 19:15:20"
4794,Observation,"1979-10-31 12:00:00",Wetland,"42.254, -84.311",MI,"Point count","CNT PNT OF SANCTUARY",627,admin,"2019-07-18 19:15:20"
4795,Observation,"1979-10-31 12:00:00",Wetland,"42.371, -85.004",MI,"Point count","GNR LOC OF ROOST",130,admin,"2019-07-18 19:15:20"
4796,Observation,"1979-10-31 12:00:00",Wetland,"44.07619404, -90.1055017",WI,"Point count","GNR LOC OF ROOST",391,admin,"2019-07-18 19:15:20"
4797,Observation,"1979-10-31 12:00:00",Wetland,"44.30721248, -90.49066331",WI,"Point count",.,175,admin,"2019-07-18 19:15:20"
4798,Observation,"1979-10-31 12:00:00",Wetland,"44.38899151, -90.13463546",WI,"Point count","GNR LOC OF ROOST",612,admin,"2019-07-18 19:15:20"
4799,Observation,"1979-10-31 12:00:00",Wetland,"44.552, -90.616",WI,"Point count",.,30,admin,"2019-07-18 19:15:20"
4800,Observation,"1979-10-31 12:00:00",Wetland,"44.737, -90.616",WI,"Point count",.,120,admin,"2019-07-18 19:15:20"
4801,Observation,"1979-10-31 12:00:00",Wetland,"45.94593, -92.31816526",WI,"Point count",.,45,admin,"2019-07-18 19:15:20"
4802,Observation,"1980-10-31 12:00:00",Wetland,"27.9385995, -81.36443417",FL,"Point count",.,40,admin,"2019-07-18 19:15:20"
4803,Observation,"1980-10-31 12:00:00",Wetland,"28.03853578, -81.141634",FL,"Point count",.,9,admin,"2019-07-18 19:15:20"
4804,Observation,"1980-10-31 12:00:00",Wetland,"28.91087497, -81.80119536",FL,"Point count",.,138,admin,"2019-07-18 19:15:20"
4805,Observation,"1980-10-31 12:00:00",Wetland,"29.48469376, -82.29429359",FL,"Point count",.,36,admin,"2019-07-18 19:15:20"
4806,Observation,"1980-10-31 12:00:00",Wetland,"29.52252142, -82.35704324",FL,"Point count",.,7,admin,"2019-07-18 19:15:20"
4807,Observation,"1980-10-31 12:00:00",Wetland,"29.60919692, -82.27689768",FL,"Point count",.,70,admin,"2019-07-18 19:15:20"
4808,Observation,"1980-10-31 12:00:00",Wetland,"30.79015611, -82.28545148",GA,"Ground count",.,21,admin,"2019-07-18 19:15:20"
4809,Observation,"1980-10-31 12:00:00",Wetland,"33.11690582, -83.70312763",GA,"Point count",.,7,admin,"2019-07-18 19:15:20"
4810,Observation,"1980-10-31 12:00:00",Wetland,"35.49500026, -85.01472843",TN,"Point count",.,100,admin,"2019-07-18 19:15:20"
