"MLog","BirthDate","Health","Conceive","Org","VetID","Comments","Weight","EstW","WDate","Length","EstL","LDate","CreateBy","CreateDate","UpdateBy","UpdateDate"
40,1990-01-01 00:00:00.000,U,U,HSSWP,Unk,calf of Lorelei,0,U,1990-01-01 00:00:00.000,0,U,1990-01-01 00:00:00.000,unk,1990-01-01 00:00:00.000,D,2009-07-09 10:09:34.293
68,2000-10-02 00:00:00.000,U,U,MSQ,mrodriguez,,29,Y,2000-10-02 00:00:00.000,85,Y,2000-10-02 00:00:00.000,rrose,2000-10-20 00:00:00.000,D,2009-07-09 10:09:34.293
179,1980-08-03 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1980-08-03 00:00:00.000,0,U,1980-08-03 00:00:00.000,jhoyo,1980-08-03 00:00:00.000,D,2009-07-09 10:09:34.293
216,1981-06-15 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1981-06-15 00:00:00.000,0,U,1981-06-15 00:00:00.000,gbossart,1981-06-15 00:00:00.000,D,2009-07-09 10:09:34.293
227,1982-09-05 00:00:00.000,U,C,MSQ,Unk,Romeo sire,0,U,1982-09-05 00:00:00.000,0,U,1982-09-05 00:00:00.000,unk,1982-09-05 00:00:00.000,D,2009-07-09 10:09:34.293
237,1982-09-06 00:00:00.000,U,U,MSQ,Unk,,0,U,1982-09-06 00:00:00.000,0,U,1982-09-06 00:00:00.000,unk,1982-09-06 00:00:00.000,D,2009-07-09 10:09:34.293
247,1982-10-17 00:00:00.000,U,C,MSQ,Unk,Romeo sire,0,U,1982-10-17 00:00:00.000,0,U,1982-10-17 00:00:00.000,unk,1982-10-17 00:00:00.000,D,2009-07-09 10:09:34.293
258,1983-11-20 00:00:00.000,U,C,MSQ,gbossart,"992027, Romeo sire",0,U,1983-11-23 00:00:00.000,0,U,1983-11-23 00:00:00.000,jcaron,1983-11-23 00:00:00.000,dszemer,2011-05-31 11:11:56.673
261,1992-04-29 00:00:00.000,U,C,MSQ,mrenner,Romeo sire,34,N,1992-04-29 00:00:00.000,117,N,1992-04-29 00:00:00.000,jhoyo,1992-05-14 00:00:00.000,D,2009-07-09 10:09:34.293
267,1984-06-28 00:00:00.000,U,C,MSQ,gbossart,Romeo sire,0,U,1984-06-28 00:00:00.000,0,U,1984-06-28 00:00:00.000,jcaron,1984-06-28 00:00:00.000,D,2009-07-09 10:09:34.293
270,1992-07-02 00:00:00.000,U,C,SWF,mwalsh,Gene was father,23,U,1992-07-02 00:00:00.000,120,U,1992-07-02 00:00:00.000,bwagoner,1992-07-02 00:00:00.000,D,2009-07-09 10:09:34.293
276,1985-07-22 00:00:00.000,U,U,MSQ,gbossart,,0,U,1985-07-22 00:00:00.000,125,U,1985-07-22 00:00:00.000,unk,1985-07-22 00:00:00.000,D,2009-07-09 10:09:34.293
