"MLog","RescueDate","RescuePerDay","Gear","GearDesc","EntLoc","CreateBy","CreateDate","UpdateBy","UpdateDate"
11,1999-05-09 00:00:00.000,1,Crab,,Unknown,jhackshaw,1999-05-09 00:00:00.000,D,2009-07-09 10:09:34.327
16,1998-12-04 00:00:00.000,1,Mono,,Unknown,unk,1999-01-29 00:00:00.000,D,2009-07-09 10:09:34.327
17,1995-01-24 00:00:00.000,1,FH,,Unknown,unk,1995-01-24 00:00:00.000,D,2009-07-09 10:09:34.327
18,1995-10-18 00:00:00.000,1,Crab,,Unknown,swright,1995-10-19 00:00:00.000,D,2009-07-09 10:09:34.327
34,1985-05-25 00:00:00.000,1,Crab,,Unknown,unk,1985-05-25 00:00:00.000,D,2009-07-09 10:09:34.327
37,1982-02-12 00:00:00.000,1,Oth,Unknown,Unknown,unk,1982-02-12 00:00:00.000,D,2009-07-09 10:09:34.327
38,1998-05-28 00:00:00.000,1,Crab,,Unknown,aspellman,1998-05-28 00:00:00.000,D,2009-07-09 10:09:34.327
52,1993-07-13 00:00:00.000,1,Crab,,Unknown,bbrooks,1993-07-14 00:00:00.000,D,2009-07-09 10:09:34.327
59,1996-02-07 00:00:00.000,1,Oth,plastic strip,around body behind pectoral flippers,unk,1996-02-07 00:00:00.000,dszemer,2010-11-19 11:53:13.937
62,1997-03-13 00:00:00.000,1,Oth,Unknown,Unknown,boucher,1997-03-14 00:00:00.000,D,2009-07-09 10:09:34.327
64,1997-07-07 00:00:00.000,1,Mono,,Unknown,aperry,1997-07-10 00:00:00.000,D,2009-07-09 10:09:34.327
64,1999-05-22 00:00:00.000,1,Mono,,Unknown,aperry,1999-07-26 00:00:00.000,D,2009-07-09 10:09:34.327
64,2002-05-18 00:00:00.000,1,Mono,,Left pectoral flipper,unk,2002-05-18 00:00:00.000,D,2009-07-09 10:09:34.327
64,2004-08-23 00:00:00.000,1,Mono,,both flippers,unk,2004-08-23 00:00:00.000,D,2009-07-09 10:09:34.327
64,2004-08-23 00:00:00.000,1,Oth,Chum bag,both flippers,chudak,2004-08-24 00:00:00.000,D,2009-07-09 10:09:34.327
64,2004-11-09 00:00:00.000,1,Mono,,on both flippers and around tag,unk,2004-11-09 00:00:00.000,D,2009-07-09 10:09:34.327
64,2005-08-10 00:00:00.000,1,Mono,,Both flippers,unk,2005-08-10 00:00:00.000,D,2009-07-09 10:09:34.327
64,2016-03-07 00:00:00.000,1,Rope,"15ft black rope with monofilament and hooks wrapped around it.",peduncle,ahowell,2016-03-25 07:53:14.400,D,2016-03-25 07:53:14.400
64,2018-02-25 00:00:00.000,1,Mono,Monofilament was across the dorsum connecting both flippers.  line was left on both flippers.,across dorsum,ahowell,2018-05-15 09:58:12.440,D,2018-05-15 09:58:12.440
64,2019-03-16 00:00:00.000,1,Mono,"Monofilament was deeply embedded around both flippers and formed a 2-inch-wide mass of line that “handcuffed” the manatee.  The entanglements were associated with swollen, white scar tissue at the proximal third of both flippers.",Pectoral flippers,ngordon,2020-04-20 11:18:27.797,D,2020-04-20 11:18:27.797
64,2019-04-07 00:00:00.000,1,Mono,dual flipper entanglements with yellow to green monofilament line wrapped around the body at the head and attached at each flipper,pectoral flippers and head/body,ngordon,2020-04-20 12:37:26.890,D,2020-04-20 12:37:26.890
64,2020-04-21 00:00:00.000,1,Mono,"monofilament, hook, sinker, net, tan cable",gear cut into and connected both flippers and led to a loose wrap around the tail ,aperna,2020-10-18 10:04:27.240,D,2020-10-18 10:04:27.240
67,2000-05-28 00:00:00.000,1,Mono,,Unknown,rrose,2000-06-06 00:00:00.000,D,2009-07-09 10:09:34.327
69,1996-01-05 00:00:00.000,1,Oth,rope with monofilament netting wrapped around body behind pectoral flippers,around body behind pectoral flippers,pcook,1996-01-05 00:00:00.000,dszemer,2010-11-19 11:03:46.023
76,1999-10-13 00:00:00.000,1,Mono,,Unknown,rrose,1999-10-22 00:00:00.000,D,2009-07-09 10:09:34.327
95,2000-04-17 00:00:00.000,1,Net,,Unknown,aspellman,2000-04-19 00:00:00.000,D,2009-07-09 10:09:34.327
96,2000-11-19 00:00:00.000,1,Crab,,Unknown,unk,2000-11-19 00:00:00.000,D,2009-07-09 10:09:34.327
98,1998-11-15 00:00:00.000,1,Crab,,Unknown,aspellman,1998-11-18 00:00:00.000,D,2009-07-09 10:09:34.327
99,1998-12-10 00:00:00.000,1,Net,,Unknown,aspellman,1998-12-10 00:00:00.000,D,2009-07-09 10:09:34.327
100,1999-04-11 00:00:00.000,1,Crab,,Unknown,jsmith,1999-04-18 00:00:00.000,D,2009-07-09 10:09:34.327
101,1994-05-03 00:00:00.000,1,Crab,,Unknown,aspellman,1994-05-09 00:00:00.000,D,2009-07-09 10:09:34.327
103,1995-07-06 00:00:00.000,1,Crab,,Unknown,unk,1995-07-06 00:00:00.000,D,2009-07-09 10:09:34.327
106,1996-05-22 00:00:00.000,1,Crab,,Unknown,bwagoner,1996-05-22 00:00:00.000,D,2009-07-09 10:09:34.327
107,1996-09-16 00:00:00.000,1,Crab,,Unknown,unk,1996-09-16 00:00:00.000,D,2009-07-09 10:09:34.327
109,1996-10-26 00:00:00.000,1,Crab,,Unknown,aspellman,1996-11-01 00:00:00.000,D,2009-07-09 10:09:34.327
