"Name","SystemID","System","CreateBy","CreateDate","UpdateBy","UpdateDate"
!,RB027,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"1/2 Tail",PE204,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"11-Scar",PE117,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"2 of Diamonds",CR133,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"2-Leaf",BC257,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"2-Scallops",PE076,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"3-Dot",SB119,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"3-Leaf",PE098,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"3-Notch",BS041,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"3point14",SB155,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"3Prong",TB171,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"4W",TB136,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"7 Track",CH130,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"8-Prop",PE091,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
"911",MI049,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Abalone,TB338,MIPS,krood,2014-06-13 13:30:59.630,D,2014-06-13 13:30:59.630
Abby,TB047,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Abscess,MI109,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Actual,TNP018,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-06 17:00:55.617
Adam West,BS067,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Addison,MA014,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Adelaide,TB008,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Adella,TB102,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Adidas,CH119,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Africa,BS273,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Albert,BS178*,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Alberto,TNP016,T,D,2009-07-09 10:09:34.327,csandersre,2009-08-06 17:01:31.417
Alcatraz,FM280,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Ale,FM251,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Alexander,BC418,MIPS,D,2009-07-09 10:09:34.327,testMIPS,2009-09-03 14:23:47.513
Alfalfa,BS274*,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Alfie,Alfie,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Algae Al,U0233,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Algernon,MI126,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Algorithm,TB467,MIPS,krood,2015-04-07 19:19:31.017,D,2015-04-07 19:19:31.017
Alice,FM005,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Alien,CR207,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Alli,CR354,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Alya,TB246,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Amazon,CH168,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Ami,TB144,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Amigo,BS275,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Amy,CR254,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Amy II,BS245,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Anchor,SB001,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Andy,BS252,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Angel,FM262,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Angela,RB441,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Angelfish,TB428,MIPS,krood,2015-04-07 19:16:50.353,D,2015-04-07 19:16:50.353
Anita,FM212,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Ann,BS189,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Anna,TNP011,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Annelid,SB157,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Antelope,TB343,MIPS,krood,2013-05-14 12:08:32.560,D,2013-05-14 12:08:32.560
Anthony,RB280,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Anvil,BS250,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Anvil II,TB172,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Apollo,TB026,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arabella,PE175,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Aramis,MI037,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arches,U0389,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Argo,CH166,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arlene,RB460,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Armand,CH163,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arnie,TB039,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arnold,BC420,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arrow,BC253,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arrow II,SB002,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arrowhead,CH136,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Arrowhead II,U0345,MIPS,D,2009-07-09 10:09:34.327,D,2009-07-09 10:09:34.327
Artifact,TB510,MIPS,krood,2016-04-15 07:17:05.333,D,2016-04-15 07:17:05.333
Asiago,TB267,MIPS,krood,2010-08-16 16:43:19.223,D,2010-08-16 16:43:19.223
Astro,FM390,MIPS,krood,2012-02-06 10:41:43.867,D,2012-02-06 10:41:43.867
