"MLog","EntryDate","RelDate","RelSite","State","County","City","Waterway","Photos","FormComplete","CondStop","BottomFeed","NatVeg","VegType","MonthsVeg","ExpWater","DisplayType","RelType","MonthsExpWater","VetID","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","Status","CreateBy","CreateDate","UpdateBy","UpdateDate"
189,2009-09-08 09:51:40.820,2009-02-26 00:00:00.000,Blue Spring,FL,Volusia,Orange City,Blue Spring,1,1,1,1,1,Hydrilla,"02",1,F,F,>12,sgearhart,1359,N,2009-01-15 00:00:00.000,361,N,2009-01-15 00:00:00.000,,FWS,1,nadimey,2009-09-08 09:51:40.820,nadimey,2009-09-08 09:52:14.630
200,2011-03-06 17:14:33.213,2011-02-15 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange City,St. John's River,1,1,1,1,1,hydrilla,>12,1,F,F,>12,rball,769,N,2011-02-15 00:00:00.000,332,N,2010-01-27 00:00:00.000,,LPZ,1,vedmonds,2011-03-06 17:14:33.213,vedmonds,2011-03-06 17:15:30.777
200,2011-03-06 17:22:55.593,2011-02-15 00:00:00.000,Blue Spring State Park,FL,Volusia,Orange City,St. John's River,1,1,1,1,1,hydrilla,>12,0,F,B,"00",rball,769,N,2011-02-15 00:00:00.000,332,N,2010-01-27 00:00:00.000,,LPZ,1,vedmonds,2011-03-06 17:22:55.593,bwagoner,2011-06-02 07:56:10.860
200,2011-05-30 14:05:55.200,2011-05-31 00:00:00.000,Lake Dexter,FL,Volusia,DeLand,St. Johns River,0,0,0,1,,,,1,F,F,,sgearhart,675,N,2011-05-15 00:00:00.000,326,N,2011-03-25 00:00:00.000,"Originally released 2/15/2011 at BSSP, brought back in from Silver Glen Springs on 3/25/2011, 2nd release attempt this year.",SWF,1,bwagoner,2011-05-30 14:05:55.200,bwagoner,2011-06-02 07:56:10.860
219,2020-12-16 10:35:32.520,2020-12-16 00:00:00.000,Port St. John boat ramp ,FL,Brevard,Port St John,Indian River,0,0,0,,,,,0,,,,creid,711,N,2020-12-16 00:00:00.000,327,N,2020-12-16 00:00:00.000,,SWF,1,lbraso,2020-12-16 10:35:32.520,lbraso,2020-12-16 12:12:50.303
258,2010-02-18 12:44:32.700,2010-02-23 00:00:00.000,Silver Glenn Springs,FL,Marion,Fort McCoy,Silver Glen Springs,1,0,0,1,1,Sea grass,"01",1,F,F,"02",sgearhart,605,N,2010-02-11 00:00:00.000,311,N,2010-02-11 00:00:00.000,Hurricane will be tagged and tracked by Sea2Shore,SWF,1,bwagoner,2010-02-18 12:44:32.700,bwagoner,2010-02-23 15:55:36.740
312,2020-05-24 11:59:17.667,2020-05-20 00:00:00.000,"147 Jasmine street",FL,Monroe,Tavernier,Florida Bay,0,0,0,,,,,0,,,,mrodriguez,590,N,2020-05-20 00:00:00.000,319,N,2020-05-20 00:00:00.000,,MSQ,1,jheyde,2020-05-24 11:59:17.667,jheyde,2020-05-24 12:03:40.523
326,2021-05-11 14:29:03.460,2021-05-11 00:00:00.000,Anchorage Park,FL,Palm Beach,North Palm Beach,Earman River,0,0,0,,,,,0,,,,sdirocco,668,N,2021-05-11 00:00:00.000,317,N,2021-05-11 00:00:00.000,Dr. Lydia Staggs was attending vet,SWF,1,lbraso,2021-05-11 14:29:03.460,lbraso,2021-05-11 14:29:29.590
372,2011-02-08 16:31:22.030,2011-02-09 00:00:00.000,Earman Canal,FL,Palm Beach,N. Palm Beach,Earman Canal,0,0,0,1,,,,0,F,U,,sgearhart,989,N,2010-08-04 00:00:00.000,338,N,2010-08-04 00:00:00.000,"Holly' release physical will be done the day of release (2/9/2011) including pit tags, FB and all measurements. Photos will then be sent to Sirenia.",SWF,1,bwagoner,2011-02-08 16:31:22.030,bwagoner,2011-02-10 16:06:47.757
446,2010-04-15 16:56:17.350,2010-04-27 00:00:00.000,Blue Springs State Park,FL,Volusia,"Orange City, FL",St. Johns River,1,0,0,,,,,0,,,,lcroft,648,N,2010-02-14 00:00:00.000,299,N,2010-02-14 00:00:00.000,"Mossback will be released along with her calf, Eva.",SWF,1,bwagoner,2010-04-15 16:56:17.350,bwagoner,2010-04-27 14:49:12.360
