"MLog","RescueDate","RescuePerDay","State","County","City","Waterway","Latitude","Longitude","Pregnant","Health","RescueType","PrimCauseID","PrimText","SecCauseID","SecText","WhereRel","Dead","Tracker","Transporter","FacTransTo","VetID","PartOrg","FloodGate","Pot","Weight","EstW","WDate","Length","EstL","LDate","Comments","Org","CreateBy","CreateDate","UpdateBy","UpdateDate"
1,1997-02-25 00:00:00.000,1,FL,Lee,Cape Coral,Cape Coral Canal,26.581110,-81.929170,U,U,B,BoIm,,,,,0,,,LPZ,dmurphy,,,U,347,N,1997-02-25 00:00:00.000,285,N,1997-02-25 00:00:00.000,,LPZ,tpitchford,1997-03-08 00:00:00.000,dszemer,2009-09-03 10:16:35.010
2,1997-04-27 00:00:00.000,1,FL,Lee,Ft. Myers,Fort Myers 10 mile canal,26.489300,-81.854200,U,U,B,BoIm,,,,,0,,,LPZ,dmurphy,,,U,331,N,1997-04-27 00:00:00.000,287,N,1997-04-27 00:00:00.000,,Unk,tpitchford,1997-05-01 00:00:00.000,D,2009-07-09 13:59:06.707
3,1997-04-29 00:00:00.000,1,FL,Collier,Naples,Gordon River,26.142220,-81.786940,U,U,B,BoIm,,,,,0,,AL,LPZ,dmurphy,,,U,177,Y,1997-04-29 00:00:00.000,232,N,1997-04-29 00:00:00.000,,Unk,swinslow,1997-04-30 00:00:00.000,D,2009-07-09 13:59:06.707
4,1997-08-02 00:00:00.000,1,FL,Lee,Sanibel Island,Sanibel Island,26.437500,-82.045830,U,U,B,TrOt,Undetermined,,,,0,,DEP,LPZ,dmurphy,,,U,205,N,1997-08-02 00:00:00.000,237,N,1997-08-02 00:00:00.000,,Unk,swinslow,1997-08-04 00:00:00.000,D,2009-07-09 13:59:06.707
5,1998-02-24 00:00:00.000,1,FL,Lee,Ft. Myers,Orange River,26.692550,-81.795970,U,U,B,BoBo,,,,,0,,AL,LPZ,dmurphy,,,U,538,N,1998-02-24 00:00:00.000,361,N,1998-02-24 00:00:00.000,,Unk,swinslow,1998-02-25 00:00:00.000,D,2009-07-09 13:59:06.707
6,1998-02-24 00:00:00.000,1,FL,Lee,Ft. Myers,Orange River,26.692220,-81.796110,U,U,B,Calf,,,,,0,,AL,LPZ,dmurphy,,,U,114,N,1998-02-24 00:00:00.000,173,N,1998-02-24 00:00:00.000,,Unk,swinslow,1998-02-25 00:00:00.000,D,2009-07-09 13:59:06.707
7,1999-01-20 00:00:00.000,1,FL,Taylor,Crackertown,Next to a Sulphur Springs,29.730900,-83.347100,U,U,B,NaCs,,,,,0,,FWS,LPZ,dmurphy,,,U,363,N,1999-01-20 00:00:00.000,267,N,1999-01-20 00:00:00.000,,Unk,esouheaver,1999-01-20 00:00:00.000,D,2009-07-09 13:59:06.707
8,1999-01-27 00:00:00.000,1,FL,Citrus,Homosassa,Blue Waters at Homosassa State Park,28.799240,-82.590220,U,U,B,BoBo,,,,,0,,FWS,LPZ,dmurphy,,,U,470,N,1999-01-27 00:00:00.000,273,N,1999-01-27 00:00:00.000,,Unk,swinslow,1999-01-27 00:00:00.000,D,2009-07-09 13:59:06.707
9,1999-04-06 00:00:00.000,1,FL,Glades,Moore Haven,Moore Haven Locke,26.839320,-81.085300,U,U,B,BoBo,,,,,0,,DEP,LPZ,dmurphy,,,U,308,N,1999-04-06 00:00:00.000,236,N,1999-04-06 00:00:00.000,,Unk,lsalisbury,1999-04-06 00:00:00.000,D,2009-07-09 13:59:06.707
10,1999-04-14 00:00:00.000,1,FL,Charlotte,Punta Gorda,Pellam Waterway,27.003470,-82.139170,U,U,B,NaOt,,,,,0,,DEP,LPZ,dmurphy,,,U,109,N,1999-04-14 00:00:00.000,216,N,1999-04-14 00:00:00.000,,Unk,lsalisbury,1999-04-15 00:00:00.000,D,2009-07-09 13:59:06.707
11,1999-05-09 00:00:00.000,1,FL,Citrus,Homosassa,Canal of Battle Creek,28.775000,-82.638340,U,U,B,Enta,,,,,0,,FWS,LPZ,dmurphy,,,U,295,N,1999-05-09 00:00:00.000,244,N,1999-05-09 00:00:00.000,,Unk,jhackshaw,1999-05-09 00:00:00.000,D,2009-07-09 13:59:06.707
