"MLog","RescueDate","RescuePerDay","RelDate"
969,2008-01-11 00:00:00.000,1,2009-02-20 00:00:00.000
971,2008-02-25 00:00:00.000,1,2008-04-17 00:00:00.000
991,2009-01-24 00:00:00.000,1,2009-03-19 00:00:00.000
991,2009-12-07 00:00:00.000,1,2010-01-15 00:00:00.000
992,2008-08-08 00:00:00.000,1,2008-11-04 00:00:00.000
996,2008-12-01 00:00:00.000,1,2009-03-04 00:00:00.000
999,2008-10-17 00:00:00.000,1,2009-03-04 00:00:00.000
1002,2008-12-27 00:00:00.000,1,2010-02-08 00:00:00.000
1002,2010-04-06 00:00:00.000,1,2010-05-18 00:00:00.000
1002,2010-12-08 00:00:00.000,1,2011-03-03 00:00:00.000
1004,2008-06-15 00:00:00.000,1,2011-02-08 00:00:00.000
1005,2008-04-24 00:00:00.000,1,2008-06-13 00:00:00.000
1006,2008-04-24 00:00:00.000,1,2008-06-13 00:00:00.000
1007,2008-06-05 00:00:00.000,1,2008-08-13 00:00:00.000
1008,2008-04-13 00:00:00.000,1,2008-08-14 00:00:00.000
1009,2008-02-04 00:00:00.000,1,2009-02-20 00:00:00.000
1010,2008-02-13 00:00:00.000,1,2009-02-27 00:00:00.000
1011,2008-04-07 00:00:00.000,1,2010-02-16 00:00:00.000
1015,2008-05-16 00:00:00.000,1,2008-05-23 00:00:00.000
1016,2008-05-16 00:00:00.000,1,2008-05-23 00:00:00.000
1024,2008-07-03 00:00:00.000,1,2008-11-25 00:00:00.000
1026,2009-01-16 00:00:00.000,1,2010-02-16 00:00:00.000
1032,2009-02-01 00:00:00.000,1,2011-02-15 00:00:00.000
1033,2009-02-04 00:00:00.000,1,2010-02-17 00:00:00.000
1034,2009-02-13 00:00:00.000,1,2009-05-18 00:00:00.000
1036,2009-03-06 00:00:00.000,1,2009-05-26 00:00:00.000
1036,2010-04-06 00:00:00.000,1,2011-02-22 00:00:00.000
1037,2009-03-06 00:00:00.000,1,2011-02-22 00:00:00.000
1038,2009-03-17 00:00:00.000,1,2009-07-30 00:00:00.000
1040,2009-02-06 00:00:00.000,1,2009-05-28 00:00:00.000
1041,2009-02-06 00:00:00.000,1,2009-05-28 00:00:00.000
1047,2008-12-18 00:00:00.000,1,2010-04-27 00:00:00.000
1057,2008-06-27 00:00:00.000,1,2008-08-12 00:00:00.000
1058,2008-06-27 00:00:00.000,1,2008-08-12 00:00:00.000
1063,2009-05-14 00:00:00.000,1,2009-09-09 00:00:00.000
1066,2009-04-29 00:00:00.000,1,2009-05-15 00:00:00.000
1067,2009-04-15 00:00:00.000,1,2009-07-09 00:00:00.000
1069,2009-03-31 00:00:00.000,1,2009-07-08 00:00:00.000
1071,2009-03-17 00:00:00.000,1,2010-11-23 00:00:00.000
1074,2009-03-22 00:00:00.000,1,2009-07-10 00:00:00.000
1082,2009-03-10 00:00:00.000,1,2010-02-08 00:00:00.000
1088,2009-05-20 00:00:00.000,1,2009-09-24 00:00:00.000
1089,2009-04-02 00:00:00.000,1,2009-09-09 00:00:00.000
1092,2009-07-10 00:00:00.000,1,2009-09-08 00:00:00.000
1094,2009-07-14 00:00:00.000,1,2010-05-19 00:00:00.000
