"a2z","nn","mn","program_id","region","site_id","control_program_id","control_region","control_site_id","dt_create","dt_update","create_by","update_by","xml_cd","rcf_cd"
A,18669,99999,MB,"9","01",MA,"9","01",2005-09-30 12:16:47.950,2025-03-03 11:25:11.647,Toan,rrca,V,U
B,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
C,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
D,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
E,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
F,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
G,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
H,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
I,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
J,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
K,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
L,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
M,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
N,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
O,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
P,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
Q,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
R,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
S,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
T,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
U,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.950,,Toan,,V,N
V,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.967,,Toan,,V,N
W,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.967,,Toan,,V,N
X,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.967,,Toan,,V,N
Y,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.967,,Toan,,V,N
Z,0,99999,MB,"9","01",MB,"9","01",2005-09-30 12:16:47.967,,Toan,,V,N
